,seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
0,A0A062BR53,23,163,17,163,PF13185.6,GAF_2,Domain,7,138,138,41.7,1.3e-10,1,CL0161,Bacteria Proteobacteria
1,A0A062BR53,186,287,183,290,PF08448.10,PAS_4,Domain,5,107,110,29.3,8e-07,1,CL0183,Bacteria Proteobacteria
2,A0A062BR53,306,411,306,411,PF13426.7,PAS_9,Domain,1,104,104,65.0,6e-18,1,CL0183,Bacteria Proteobacteria
3,A0A062BR53,424,576,423,576,PF00990.21,GGDEF,Domain,2,161,161,114.6,3.5e-33,1,CL0276,Bacteria Proteobacteria
4,A0A062BR53,598,832,596,832,PF00563.20,EAL,Domain,3,238,238,229.4,4.4e-68,1,CL0276,Bacteria Proteobacteria
5,A0A139WYI3,51,107,51,109,PF03707.16,MHYT,Repeat,1,57,59,66.4,1.8e-18,1,No_clan,Bacteria Cyanobacteria
6,A0A139WYI3,114,166,114,169,PF03707.16,MHYT,Repeat,1,53,59,62.2,3.9e-17,1,No_clan,Bacteria Cyanobacteria
7,A0A139WYI3,182,245,182,249,PF03707.16,MHYT,Repeat,1,55,59,28.7,1.1e-06,1,No_clan,Bacteria Cyanobacteria
8,A0A139WYI3,277,416,276,416,PF01590.26,GAF,Domain,2,133,133,69.1,5.6e-19,1,CL0161,Bacteria Cyanobacteria
9,A0A139WYI3,444,549,443,549,PF13426.7,PAS_9,Domain,2,104,104,76.6,1.5e-21,1,CL0183,Bacteria Cyanobacteria
10,A0A139WYI3,674,855,672,857,PF00015.21,MCPsignal,Family,3,170,172,117.1,6.9e-34,1,No_clan,Bacteria Cyanobacteria
11,A0A0W1R5N1,26,118,23,129,PF13426.7,PAS_9,Domain,4,84,104,22.1,0.00013,1,CL0183,Archaea Euryarchaeota
12,A0A0W1R5N1,164,260,155,260,PF13426.7,PAS_9,Domain,8,104,104,89.3,1.7e-25,1,CL0183,Archaea Euryarchaeota
13,A0A0W1R5N1,297,439,295,440,PF13185.6,GAF_2,Domain,3,137,138,35.3,1.3e-08,1,CL0161,Archaea Euryarchaeota
14,A0A0W1R5N1,453,605,451,606,PF15915.5,BAT,Domain,3,155,156,149.6,6.2e-44,1,No_clan,Archaea Euryarchaeota
