,seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
0,Q8YT51,339,423,338,424,PF08447.12,PAS_3,Domain,2,88,89,44.4,1.5e-11,1,CL0183,Bacteria Cyanobacteria
1,Q8YT51,449,554,448,554,PF13426.7,PAS_9,Domain,2,104,104,79.2,2.3e-22,1,CL0183,Bacteria Cyanobacteria
2,Q8YT51,574,676,574,676,PF13426.7,PAS_9,Domain,2,104,104,59.7,2.7e-16,1,CL0183,Bacteria Cyanobacteria
3,Q8YT51,689,799,689,799,PF00989.25,PAS,Domain,1,113,113,50.4,1.9e-13,1,CL0183,Bacteria Cyanobacteria
4,Q8YT51,859,924,838,925,PF08447.12,PAS_3,Domain,24,88,89,50.8,1.5e-13,1,CL0183,Bacteria Cyanobacteria
5,Q8YT51,962,1103,960,1103,PF01590.26,GAF,Domain,3,133,133,45.8,8.5e-12,1,CL0161,Bacteria Cyanobacteria
6,Q8YT51,1139,1204,1139,1204,PF00512.25,HisKA,Domain,1,67,67,67.1,1e-18,1,CL0025,Bacteria Cyanobacteria
7,Q8YT51,1251,1388,1251,1392,PF02518.26,HATPase_c,Domain,1,108,112,90.8,7.5e-26,1,CL0025,Bacteria Cyanobacteria
8,Q8YT51,1414,1522,1413,1524,PF00072.24,Response_reg,Domain,2,110,112,71.1,8.1e-20,1,CL0304,Bacteria Cyanobacteria
9,Q8YT51,1556,1668,1556,1669,PF00072.24,Response_reg,Domain,1,111,112,80.8,7.7e-23,1,CL0304,Bacteria Cyanobacteria
10,Q8YT51,1724,1806,1724,1807,PF01627.23,Hpt,Family,1,84,85,45.4,7.4e-12,1,No_clan,Bacteria Cyanobacteria
11,B5W5T2,43,130,40,141,PF00989.25,PAS,Domain,4,94,113,30.5,2.8e-07,1,CL0183,Bacteria Cyanobacteria
12,B5W5T2,181,323,181,323,PF01590.26,GAF,Domain,1,133,133,42.2,1.1e-10,1,CL0161,Bacteria Cyanobacteria
13,B5W5T2,344,449,343,449,PF13426.7,PAS_9,Domain,2,104,104,80.1,1.2e-22,1,CL0183,Bacteria Cyanobacteria
14,B5W5T2,485,615,484,623,PF01590.26,GAF,Domain,2,127,133,28.1,2.6e-06,1,CL0161,Bacteria Cyanobacteria
15,B5W5T2,643,752,642,752,PF00989.25,PAS,Domain,2,113,113,32.7,6.1e-08,1,CL0183,Bacteria Cyanobacteria
16,B5W5T2,766,939,766,940,PF00990.21,GGDEF,Domain,1,160,161,142.3,1.1e-41,1,CL0276,Bacteria Cyanobacteria
17,B5W5T2,1003,1249,996,1249,PF00563.20,EAL,Domain,9,238,238,234.5,1.1e-69,1,CL0276,Bacteria Cyanobacteria
18,C1CYA5,5,113,5,114,PF00072.24,Response_reg,Domain,1,111,112,89.5,1.5e-25,1,CL0304,Bacteria Deinococcus-Thermus
19,C1CYA5,169,272,167,272,PF13426.7,PAS_9,Domain,3,104,104,78.8,3.1e-22,1,CL0183,Bacteria Deinococcus-Thermus
20,C1CYA5,284,438,284,439,PF00990.21,GGDEF,Domain,1,160,161,150.4,3.6e-44,1,CL0276,Bacteria Deinococcus-Thermus
21,H3ZFV5,514,584,512,589,PF08447.12,PAS_3,Domain,3,75,89,34.3,2.2e-08,1,CL0183,Bacteria Proteobacteria
22,H3ZFV5,621,763,620,763,PF13185.6,GAF_2,Domain,2,138,138,45.0,1.3e-11,1,CL0161,Bacteria Proteobacteria
23,H3ZFV5,786,888,785,890,PF08448.10,PAS_4,Domain,5,108,110,45.0,1e-11,1,CL0183,Bacteria Proteobacteria
24,H3ZFV5,915,1012,906,1012,PF13426.7,PAS_9,Domain,7,104,104,75.7,2.7e-21,1,CL0183,Bacteria Proteobacteria
25,H3ZFV5,1024,1181,1024,1181,PF00990.21,GGDEF,Domain,1,161,161,156.1,6.3e-46,1,CL0276,Bacteria Proteobacteria
26,H3ZFV5,1201,1436,1200,1436,PF00563.20,EAL,Domain,2,238,238,255.0,6.5e-76,1,CL0276,Bacteria Proteobacteria
27,H3ZFV5,1464,1573,1463,1574,PF00072.24,Response_reg,Domain,2,111,112,74.8,5.6e-21,1,CL0304,Bacteria Proteobacteria
28,M0PJA7,153,256,151,256,PF13426.7,PAS_9,Domain,3,104,104,84.2,6.4e-24,1,CL0183,Archaea Euryarchaeota
29,M0PJA7,275,391,275,391,PF08448.10,PAS_4,Domain,1,110,110,73.5,1.5e-20,1,CL0183,Archaea Euryarchaeota
30,M0PJA7,430,499,424,507,PF08447.12,PAS_3,Domain,8,81,89,38.3,1.2e-09,1,CL0183,Archaea Euryarchaeota
31,M0PJA7,526,636,525,636,PF00989.25,PAS,Domain,2,113,113,59.3,3.2e-16,1,CL0183,Archaea Euryarchaeota
32,M0PJA7,648,758,647,758,PF00989.25,PAS,Domain,2,113,113,40.2,2.8e-10,1,CL0183,Archaea Euryarchaeota
33,M0PJA7,879,978,875,981,PF02518.26,HATPase_c,Domain,6,108,112,42.3,8.9e-11,1,CL0025,Archaea Euryarchaeota
34,D5A3S6,43,129,40,136,PF00989.25,PAS,Domain,4,93,113,28.6,1.1e-06,1,CL0183,Bacteria Cyanobacteria
35,D5A3S6,181,323,181,323,PF01590.26,GAF,Domain,1,133,133,44.9,1.7e-11,1,CL0161,Bacteria Cyanobacteria
36,D5A3S6,344,449,343,449,PF13426.7,PAS_9,Domain,2,104,104,89.4,1.6e-25,1,CL0183,Bacteria Cyanobacteria
37,D5A3S6,485,615,484,623,PF01590.26,GAF,Domain,2,127,133,28.5,2e-06,1,CL0161,Bacteria Cyanobacteria
38,D5A3S6,653,754,652,754,PF13426.7,PAS_9,Domain,2,104,104,34.6,1.7e-08,1,CL0183,Bacteria Cyanobacteria
39,D5A3S6,766,939,766,940,PF00990.21,GGDEF,Domain,1,160,161,143.5,4.5e-42,1,CL0276,Bacteria Cyanobacteria
40,D5A3S6,1003,1249,996,1249,PF00563.20,EAL,Domain,9,238,238,232.6,4.4e-69,1,CL0276,Bacteria Cyanobacteria
41,G3IYB4,11,101,11,102,PF01627.23,Hpt,Family,1,84,85,39.4,5.5e-10,1,No_clan,Bacteria Proteobacteria
42,G3IYB4,124,237,124,238,PF00072.24,Response_reg,Domain,1,111,112,52.6,4.3e-14,1,CL0304,Bacteria Proteobacteria
43,G3IYB4,251,362,251,363,PF00072.24,Response_reg,Domain,1,111,112,57.9,9.8e-16,1,CL0304,Bacteria Proteobacteria
44,G3IYB4,411,495,410,496,PF08447.12,PAS_3,Domain,2,88,89,51.8,7.3e-14,1,CL0183,Bacteria Proteobacteria
45,G3IYB4,526,626,521,626,PF13426.7,PAS_9,Domain,6,104,104,77.2,9.4e-22,1,CL0183,Bacteria Proteobacteria
46,G3IYB4,662,749,661,749,PF08447.12,PAS_3,Domain,2,89,89,66.8,1.5e-18,1,CL0183,Bacteria Proteobacteria
47,G3IYB4,773,883,771,883,PF00989.25,PAS,Domain,4,113,113,56.9,1.8e-15,1,CL0183,Bacteria Proteobacteria
48,G3IYB4,906,972,906,972,PF00512.25,HisKA,Domain,1,67,67,66.7,1.3e-18,1,CL0025,Bacteria Proteobacteria
49,G3IYB4,1018,1126,1017,1128,PF02518.26,HATPase_c,Domain,2,110,112,88.9,3e-25,1,CL0025,Bacteria Proteobacteria
50,G3IYB4,1156,1268,1156,1269,PF00072.24,Response_reg,Domain,1,111,112,74.0,1e-20,1,CL0304,Bacteria Proteobacteria
51,N9H4F1,24,166,20,166,PF13185.6,GAF_2,Domain,5,138,138,38.9,9.4e-10,1,CL0161,Bacteria Proteobacteria
52,N9H4F1,189,289,189,290,PF13426.7,PAS_9,Domain,1,103,104,32.4,8.4e-08,1,CL0183,Bacteria Proteobacteria
53,N9H4F1,310,414,309,414,PF13426.7,PAS_9,Domain,2,104,104,76.4,1.7e-21,1,CL0183,Bacteria Proteobacteria
54,N9H4F1,427,582,426,583,PF00990.21,GGDEF,Domain,2,160,161,134.3,3.2e-39,1,CL0276,Bacteria Proteobacteria
55,N9H4F1,606,840,604,840,PF00563.20,EAL,Domain,3,238,238,247.9,9.3e-74,1,CL0276,Bacteria Proteobacteria
56,M0FIW0,18,105,14,116,PF00072.24,Response_reg,Domain,14,102,112,45.9,5.4e-12,1,CL0304,Archaea Euryarchaeota
57,M0FIW0,152,256,150,256,PF13426.7,PAS_9,Domain,3,104,104,76.3,1.9e-21,1,CL0183,Archaea Euryarchaeota
58,M0FIW0,307,435,301,436,PF13185.6,GAF_2,Domain,9,137,138,32.0,1.3e-07,1,CL0161,Archaea Euryarchaeota
59,M0FIW0,447,600,447,600,PF15915.5,BAT,Domain,1,156,156,110.7,6e-32,1,No_clan,Archaea Euryarchaeota
