,seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
0,A0A2R6DGK3,82,172,73,183,PF00072.24,Response_reg,Domain,11,103,112,55.0,7.9e-15,1,CL0304,Archaea Euryarchaeota
1,A0A2R6DGK3,216,320,214,320,PF13426.7,PAS_9,Domain,3,104,104,74.6,6.1e-21,1,CL0183,Archaea Euryarchaeota
2,A0A2R6DGK3,364,500,363,501,PF13185.6,GAF_2,Domain,2,137,138,46.5,4.2e-12,1,CL0161,Archaea Euryarchaeota
3,A0A2R6DGK3,512,667,512,668,PF15915.5,BAT,Domain,1,155,156,121.1,3.7999999999999996e-35,1,No_clan,Archaea Euryarchaeota
4,A0A2R6DGK3,674,726,674,726,PF04967.12,HTH_10,Domain,1,53,53,67.0,9.2e-19,1,CL0123,Archaea Euryarchaeota
5,A0A2S5EYS5,16,121,15,122,PF13426.7,PAS_9,Domain,2,103,104,78.5,3.7000000000000005e-22,1,CL0183,Bacteria Proteobacteria
6,A0A2R6KDK3,149,253,147,253,PF13426.7,PAS_9,Domain,3,104,104,69.2,3e-19,1,CL0183,Archaea Euryarchaeota
7,A0A2R6KDK3,268,326,267,328,PF00512.25,HisKA,Domain,2,65,67,41.9,7.5e-11,1,CL0025,Archaea Euryarchaeota
8,A0A2R6KDK3,366,468,366,471,PF02518.26,HATPase_c,Domain,1,109,112,52.8,4.9000000000000006e-14,1,CL0025,Archaea Euryarchaeota
9,A0A2N8SZ02,16,121,15,121,PF13426.7,PAS_9,Domain,2,104,104,73.3,1.4999999999999995e-20,1,CL0183,Bacteria Proteobacteria
10,A0A2R6EXU4,82,171,73,184,PF00072.24,Response_reg,Domain,11,101,112,55.0,7.8e-15,1,CL0304,Archaea Euryarchaeota
11,A0A2R6EXU4,216,320,214,320,PF13426.7,PAS_9,Domain,3,104,104,74.6,6.2000000000000004e-21,1,CL0183,Archaea Euryarchaeota
12,A0A2R6EXU4,364,500,363,501,PF13185.6,GAF_2,Domain,2,137,138,46.5,4.3e-12,1,CL0161,Archaea Euryarchaeota
13,A0A2R6EXU4,512,667,512,668,PF15915.5,BAT,Domain,1,155,156,122.3,1.5e-35,1,No_clan,Archaea Euryarchaeota
14,A0A2R6EXU4,674,729,674,729,PF04967.12,HTH_10,Domain,1,53,53,58.0,5.8e-16,1,CL0123,Archaea Euryarchaeota
15,A0A252CTE7,69,160,68,165,PF13426.7,PAS_9,Domain,2,97,104,14.7,0.027999999999999997,1,CL0183,Bacteria Cyanobacteria
