,seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
0,A0A1H3L262,59,151,49,155,PF13426.7,LOV,Domain,8,100,104,64.8,7.1E-18,1,CL0183,Bacteria Proteobacteria
1,A0A1Q3I4W4,16,121,15,122,PF13426.7,LOV,Domain,2,103,104,79,2.6E-22,1,CL0183,Bacteria Proteobacteria
2,A0A1F1PYR5,16,120,15,121,PF13426.7,LOV,Domain,2,103,104,72.3,3.3E-20,1,CL0183,Bacteria Proteobacteria
3,A0A1G3K5R8,16,107,6,111,PF13426.7,LOV,Domain,8,99,104,65.9,3.2E-18,1,CL0183,Bacteria Proteobacteria
4,A0A1G3K5R8,130,185,129,185,PF00196.19,GerE,Domain,2,57,57,58.6,3.3E-16,1,CL0123,Bacteria Proteobacteria
5,A0A1V6TWG3,281,389,273,390,PF13426.7,LOV,Domain,6,103,104,67.2,1.2E-18,1,CL0183,Eukaryota Fungi
6,A0A1V6TWG3,480,556,479,563,PF08447.12,PAS_3,Domain,2,80,89,45.5,7E-12,1,CL0183,Eukaryota Fungi
7,A0A1V6TWG3,831,863,831,865,PF00320.27,GATA,Domain,1,33,36,50.5,1.1E-13,1,CL0167,Eukaryota Fungi
8,A0A1E1KSI5,102,214,99,218,PF00615.19,RGS,Domain,4,113,118,59.5,3.6E-16,1,CL0272,Eukaryota Fungi
9,A0A1E1KSI5,245,328,234,331,PF13426.7,LOV,Domain,9,92,104,45.5,7.3E-12,1,CL0183,Eukaryota Fungi
10,A0A1P8AZE7,49,141,39,143,PF13426.7,LOV,Domain,11,102,104,56.7,2.3E-15,1,CL0183,Eukaryota Viridiplantae
11,A0A1P8AZE7,267,302,259,313,PF13426.7,PAS_9,Domain,7,41,104,32.1,0.00000011,1,CL0183,Eukaryota Viridiplantae
12,A0A1S2N4G3,88,183,77,183,PF13426.7,LOV,Domain,9,104,104,67.5,9.8E-19,1,CL0183,Bacteria Proteobacteria
13,A0A1S2N4G3,201,263,199,264,PF00512.25,HisKA,Domain,3,65,67,28.7,0.000001,1,CL0025,Bacteria Proteobacteria
