,seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
0,A0A0J6VGA8,62.0,156.0,52.0,157.0,PF13426.7,LOV,Domain,9.0,103.0,104.0,69.7,2.1e-19,1.0,CL0183,Bacteria Proteobacteria
1,A0A0J6VGA8,175.0,235.0,173.0,237.0,PF00512.25,HisKA,Domain,3.0,64.0,67.0,34.0,2.2000000000000002e-08,1.0,CL0025,Bacteria Proteobacteria
2,A0A0J6VGA8,280.0,402.0,279.0,405.0,PF02518.26,HATPase_c,Domain,2.0,109.0,112.0,49.2,6.500000000000001e-13,1.0,CL0025,Bacteria Proteobacteria
3,A0A0J6VGA8,427.0,537.0,427.0,538.0,PF00072.24,Response_reg,Domain,1.0,111.0,112.0,67.4,1.1000000000000001e-18,1.0,CL0304,Bacteria Proteobacteria
4,A0A059UGE7,331.0,427.0,324.0,428.0,PF13426.7,LOV,Domain,7.0,103.0,104.0,69.9,1.9e-19,1.0,CL0183,Eukaryota Viridiplantae
5,A0A059UGE7,633.0,725.0,624.0,728.0,PF13426.7,LOV,Domain,9.0,101.0,104.0,65.0,6.1e-18,1.0,CL0183,Eukaryota Viridiplantae
6,A0A059UGE7,813.0,1099.0,811.0,1099.0,PF00069.25,Pkinase,Domain,3.0,264.0,264.0,204.9,1.3999999999999998e-60,1.0,CL0016,Eukaryota Viridiplantae
7,A0A098T9D3,47.0,149.0,46.0,150.0,PF13426.7,LOV,Domain,2.0,103.0,104.0,61.8,6.099999999999999e-17,1.0,CL0183,Bacteria Proteobacteria
8,A0A098T9D3,162.0,308.0,162.0,311.0,PF00990.21,GGDEF,Domain,1.0,156.0,161.0,60.0,2.2000000000000002e-16,1.0,CL0276,Bacteria Proteobacteria
9,A0A098T9D3,333.0,568.0,332.0,568.0,PF00563.20,EAL,Domain,2.0,238.0,238.0,230.3,2.2999999999999996e-68,1.0,CL0276,Bacteria Proteobacteria
10,A0A126X477,32.0,128.0,24.0,311.0,PF13426.7,TLOV,Domain,7.0,103.0,104.0,78.0,5.5e-22,1.0,CL0183,Eukaryota Viridiplantae
12,A0A126X477,397.0,702.0,396.0,702.0,PF00069.25,Pkinase,Domain,2.0,264.0,264.0,203.3,4.2e-60,1.0,CL0016,Eukaryota Viridiplantae
13,A0A126X2S3,210.0,306.0,203.0,307.0,PF13426.7,LOV,Domain,7.0,103.0,104.0,70.1,1.5e-19,1.0,CL0183,Eukaryota Viridiplantae
14,A0A126X2S3,494.0,586.0,485.0,589.0,PF13426.7,LOV,Domain,9.0,101.0,104.0,74.4,7.1e-21,1.0,CL0183,Eukaryota Viridiplantae
15,A0A126X2S3,674.0,958.0,672.0,958.0,PF00069.25,Pkinase,Domain,3.0,264.0,264.0,208.2,1.4e-61,1.0,CL0016,Eukaryota Viridiplantae
16,A0A1A5QBP4,47.0,145.0,39.0,145.0,PF13426.7,LOV,Domain,7.0,104.0,104.0,63.5,1.8e-17,1.0,CL0183,Bacteria Proteobacteria
17,A0A1A5QBP4,159.0,303.0,157.0,305.0,PF00990.21,GGDEF,Domain,3.0,157.0,161.0,73.2,2.0000000000000002e-20,1.0,CL0276,Bacteria Proteobacteria
18,A0A1A5QBP4,328.0,562.0,326.0,562.0,PF00563.20,EAL,Domain,3.0,238.0,238.0,223.3,3.099999999999999e-66,1.0,CL0276,Bacteria Proteobacteria
19,A0A126X1R9,42.0,152.0,42.0,153.0,PF13426.7,LOV,Domain,1.0,99.0,104.0,57.6,1.2e-15,1.0,CL0183,Eukaryota Viridiplantae
20,A0A126X1R9,294.0,344.0,293.0,344.0,PF13418.6,Kelch_4,Repeat,2.0,49.0,49.0,42.6,4.5e-11,1.0,CL0186,Eukaryota Viridiplantae
21,A0A126X1R9,358.0,405.0,356.0,406.0,PF13415.6,Kelch_3,Domain,3.0,48.0,49.0,38.2,1.2e-09,1.0,CL0186,Eukaryota Viridiplantae
22,A0A126X1R9,410.0,459.0,408.0,459.0,PF13415.6,Kelch_3,Domain,3.0,49.0,49.0,23.8,4e-05,1.0,CL0186,Eukaryota Viridiplantae
23,A0A126X1R9,516.0,565.0,516.0,569.0,PF13418.6,Kelch_4,Repeat,1.0,45.0,49.0,26.5,4.7e-06,1.0,CL0186,Eukaryota Viridiplantae
24,A0A126X443,149.0,257.0,147.0,258.0,PF13426.7,LOV,Domain,3.0,99.0,104.0,55.2,6.8e-15,1.0,CL0183,Eukaryota Viridiplantae
25,A0A126X443,309.0,353.0,308.0,355.0,PF00646.33,F-box,Domain,3.0,46.0,48.0,20.9,0.00022999999999999998,1.0,CL0271,Eukaryota Viridiplantae
26,A0A126X443,405.0,455.0,404.0,455.0,PF13418.6,Kelch_4,Repeat,2.0,49.0,49.0,35.6,6.8000000000000005e-09,1.0,CL0186,Eukaryota Viridiplantae
27,A0A126X443,470.0,516.0,469.0,517.0,PF13415.6,Kelch_3,Domain,4.0,48.0,49.0,36.2,5e-09,1.0,CL0186,Eukaryota Viridiplantae
28,A0A126X443,620.0,672.0,620.0,673.0,PF13418.6,Kelch_4,Repeat,1.0,48.0,49.0,24.8,1.7e-05,1.0,CL0186,Eukaryota Viridiplantae
29,A0A068N046,112.0,258.0,112.0,258.0,PF01590.26,GAF,Domain,1.0,133.0,133.0,26.0,1.2e-05,1.0,CL0161,Bacteria Cyanobacteria
30,A0A068N046,279.0,387.0,278.0,387.0,PF13426.7,LOV,Domain,2.0,104.0,104.0,70.0,1.6999999999999999e-19,1.0,CL0183,Bacteria Cyanobacteria
31,A0A068N046,411.0,493.0,410.0,493.0,PF13426.7,PAS_9,Domain,2.0,104.0,104.0,25.9,8.8e-06,1.0,CL0183,Bacteria Cyanobacteria
32,A0A068N046,517.0,627.0,516.0,627.0,PF13426.7,PAS_9,Domain,2.0,104.0,104.0,42.9,4.5999999999999996e-11,1.0,CL0183,Bacteria Cyanobacteria
33,A0A068N046,664.0,749.0,663.0,750.0,PF08447.12,PAS_3,Domain,2.0,88.0,89.0,47.2,2e-12,1.0,CL0183,Bacteria Cyanobacteria
34,A0A068N046,767.0,924.0,767.0,925.0,PF00990.21,GGDEF,Domain,1.0,160.0,161.0,169.8,3.7e-50,1.0,CL0276,Bacteria Cyanobacteria
35,A0A068N046,945.0,1182.0,944.0,1182.0,PF00563.20,EAL,Domain,2.0,238.0,238.0,235.2,7.4e-70,1.0,CL0276,Bacteria Cyanobacteria
36,A0A126X425,172.0,219.0,170.0,220.0,PF00010.26,HLH,Domain,4.0,52.0,53.0,53.3,1.9e-14,1.0,No_clan,Eukaryota Glaucocystophyceae
37,A0A126X425,373.0,465.0,362.0,466.0,PF13426.7,LOV,Domain,11.0,103.0,104.0,68.5,5.100000000000001e-19,1.0,CL0183,Eukaryota Glaucocystophyceae
38,A0A126X425,577.0,673.0,574.0,673.0,PF13426.7,PAS_9,Domain,10.0,104.0,104.0,42.0,8.6e-11,1.0,CL0183,Eukaryota Glaucocystophyceae
39,A0A150FC31,27.0,128.0,25.0,128.0,PF13426.7,LOV,Domain,4.0,104.0,104.0,71.6,5.500000000000001e-20,1.0,CL0183,Bacteria Firmicutes
40,A0A150FC31,152.0,254.0,148.0,254.0,PF01740.21,STAS,Domain,5.0,117.0,117.0,29.5,4.4e-07,1.0,CL0502,Bacteria Firmicutes
41,A0A126X1B4,76.0,176.0,71.0,176.0,PF13426.7,LOV,Domain,6.0,104.0,104.0,67.8,8.099999999999999e-19,1.0,CL0183,Eukaryota Viridiplantae
42,A0A126X1B4,328.0,422.0,317.0,423.0,PF13426.7,LOV,Domain,9.0,103.0,104.0,65.3,4.9e-18,1.0,CL0183,Eukaryota Viridiplantae
