,seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
0,A0A0J6VGA8,62,156,52,157,PF13426.7,PAS_9,Domain,9,103,104,69.7,2.1E-19,1,CL0183,Bacteria Proteobacteria
1,A0A0J6VGA8,175,235,173,237,PF00512.25,HisKA,Domain,3,64,67,34,2.2E-08,1,CL0025,Bacteria Proteobacteria
2,A0A0J6VGA8,280,402,279,405,PF02518.26,HATPase_c,Domain,2,109,112,49.2,6.5E-13,1,CL0025,Bacteria Proteobacteria
3,A0A0J6VGA8,427,537,427,538,PF00072.24,Response_reg,Domain,1,111,112,67.4,1.1E-18,1,CL0304,Bacteria Proteobacteria
4,A0A059UGE7,331,427,324,428,PF13426.7,PAS_9,Domain,7,103,104,69.9,1.9E-19,1,CL0183,Eukaryota Viridiplantae
5,A0A059UGE7,633,725,624,728,PF13426.7,PAS_9,Domain,9,101,104,65,6.1E-18,1,CL0183,Eukaryota Viridiplantae
6,A0A059UGE7,813,1099,811,1099,PF00069.25,Pkinase,Domain,3,264,264,204.9,1.4E-60,1,CL0016,Eukaryota Viridiplantae
7,A0A098T9D3,47,149,46,150,PF13426.7,PAS_9,Domain,2,103,104,61.8,6.1E-17,1,CL0183,Bacteria Proteobacteria
8,A0A098T9D3,162,308,162,311,PF00990.21,GGDEF,Domain,1,156,161,60,2.2E-16,1,CL0276,Bacteria Proteobacteria
9,A0A098T9D3,333,568,332,568,PF00563.20,EAL,Domain,2,238,238,230.3,2.3E-68,1,CL0276,Bacteria Proteobacteria
10,A0A126X477,32,128,24,129,PF13426.7,PAS_9,Domain,7,103,104,78,5.5E-22,1,CL0183,Eukaryota Viridiplantae
11,A0A126X477,214,311,206,311,PF13426.7,PAS_9,Domain,7,104,104,73.2,1.8E-20,1,CL0183,Eukaryota Viridiplantae
12,A0A126X477,397,702,396,702,PF00069.25,Pkinase,Domain,2,264,264,203.3,4.2E-60,1,CL0016,Eukaryota Viridiplantae
13,A0A126X2S3,210,306,203,307,PF13426.7,PAS_9,Domain,7,103,104,70.1,1.5E-19,1,CL0183,Eukaryota Viridiplantae
14,A0A126X2S3,494,586,485,589,PF13426.7,PAS_9,Domain,9,101,104,74.4,7.1E-21,1,CL0183,Eukaryota Viridiplantae
15,A0A126X2S3,674,958,672,958,PF00069.25,Pkinase,Domain,3,264,264,208.2,1.4E-61,1,CL0016,Eukaryota Viridiplantae
16,A0A1A5QBP4,47,145,39,145,PF13426.7,PAS_9,Domain,7,104,104,63.5,1.8E-17,1,CL0183,Bacteria Proteobacteria
